SOME OF THESE MODELS MAY NOT WORK!



Model,DataSize,Tris,Verts,DataSize (LOD0),Tris (LOD0),Verts (LOD0),Parts,Bones,LODs,Meshes
mdl/error.rmdl,29284,874,1202,29284,874,1202,1,1,1,1
mdl/dev/empty_model.rmdl,78,1,3,78,1,3,1,1,1,1
mdl/foliage/leaves_ground_spread_02.rmdl,17736,392,641,8790,221,311,1,1,3,1
mdl/containers/box_metal.rmdl,38928,1268,1566,21800,760,862,1,1,4,1
mdl/foliage/tree_green_forest_med_01.rmdl,134244,3590,4696,64248,1940,2192,1,1,4,2
mdl/foliage/bush_green_forest_01.rmdl,86646,2273,3042,59184,1528,2084,1,1,4,1
mdl/slum_city/slumcity_grow_room_fan_01.rmdl,47472,1608,1576,25608,964,826,1,1,3,1
mdl/industrial/zipline_arm.rmdl,156444,4278,5449,80028,2306,2758,1,1,4,1
mdl/domestic/nessy_doll.rmdl,53076,2996,1755,35980,2070,1178,1,1,2,1
mdl/levels_terrain/mp_lobby/mp_setting_menu.rmdl,17988,828,465,17988,828,465,1,1,1,2
mdl/weapons/projectiles/projectile_grapple_hook_anchor_bolt.rmdl,18252,662,714,18252,662,714,1,1,1,1
mdl/Gibs/wood_gib01e.rmdl,2744,64,118,2744,64,118,1,1,1,1
mdl/Gibs/wood_gib01d.rmdl,5892,142,252,5892,142,252,1,1,1,1
mdl/Gibs/wood_gib01c.rmdl,3276,66,144,3276,66,144,1,1,1,1
mdl/Gibs/wood_gib01b.rmdl,2868,58,126,2868,58,126,1,1,1,1
mdl/Gibs/wood_gib01a.rmdl,4412,112,187,4412,112,187,1,1,1,1
mdl/Gibs/Glass_shard01.rmdl,2864,84,118,2864,84,118,1,1,1,1
mdl/Gibs/Glass_shard02.rmdl,1400,40,58,1400,40,58,1,1,1,1
mdl/Gibs/Glass_shard03.rmdl,1688,48,70,1688,48,70,1,1,1,1
mdl/Gibs/Glass_shard04.rmdl,3088,88,128,3088,88,128,1,1,1,1
mdl/Gibs/Glass_shard05.rmdl,2120,60,88,2120,60,88,1,1,1,1
mdl/Gibs/Glass_shard06.rmdl,1212,32,51,1212,32,51,1,1,1,1
mdl/props_debris/concrete_chunk08a.rmdl,6040,340,200,6040,340,200,1,1,1,1
mdl/props_debris/concrete_chunk09a.rmdl,1492,72,53,1492,72,53,1,1,1,1
mdl/props_debris/concrete_chunk03a.rmdl,1044,34,42,1044,34,42,1,1,1,1
mdl/props_debris/concrete_chunk07a.rmdl,784,34,29,784,34,29,1,1,1,1
mdl/props_debris/concrete_chunk02a.rmdl,2996,116,115,1724,84,61,1,1,2,1
mdl/Gibs/metal_gib1.rmdl,1912,52,80,1912,52,80,1,1,1,1
mdl/Gibs/metal_gib2.rmdl,1128,28,48,1128,28,48,1,1,1,1
mdl/Gibs/metal_gib3.rmdl,1352,32,58,1352,32,58,1,1,1,1
mdl/Gibs/metal_gib4.rmdl,1464,44,60,1464,44,60,1,1,1,1
mdl/Gibs/metal_gib5.rmdl,1384,44,56,1384,44,56,1,1,1,1
mdl/dev/envballs.rmdl,30076,978,956,30076,978,956,1,1,1,6
mdl/dev/editor_ref.rmdl,1104,24,48,1104,24,48,1,1,1,1
mdl/Humans/class/medium/combat_dummie_medium.rmdl,638066,26829,17039,638066,26829,17039,2,71,1,3
mdl/props/charm/charm_fireball.rmdl,74580,2490,2130,74580,2490,2130,1,5,1,1
mdl/props/charm/charm_yeti.rmdl,60920,2542,1631,60920,2542,1631,1,5,1,1
mdl/props/charm/charm_crow.rmdl,75304,2214,2215,75304,2214,2215,1,5,1,1
mdl/props/charm/charm_rank_gold.rmdl,92700,2542,2766,92700,2542,2766,1,5,1,1
mdl/props/charm/charm_rank_diamond.rmdl,118948,2852,3637,118948,2852,3637,1,5,1,1
mdl/props/charm/charm_rank_predator.rmdl,79924,2312,2359,79924,2312,2359,1,5,1,1
mdl/props/charm/charm_nessy.rmdl,62492,2636,1667,62492,2636,1667,1,5,1,1
mdl/props/charm/charm_lifeline_drone.rmdl,86324,2520,2543,86324,2520,2543,1,5,1,1
mdl/props/charm/charm_rank_platinum.rmdl,74676,1820,2277,74676,1820,2277,1,5,1,1
mdl/props/charm/charm_pumpkin.rmdl,67682,2703,1838,67682,2703,1838,1,5,1,1
mdl/props/charm/charm_gas_canister.rmdl,66660,2276,1893,66660,2276,1893,1,5,1,1
mdl/props/charm/charm_jester.rmdl,61228,2472,1657,61228,2472,1657,1,5,1,1
mdl/props/charm/charm_nessy_ghost.rmdl,58440,2110,1635,58440,2110,1635,1,5,1,1
mdl/props/charm/charm_clown.rmdl,62770,2799,1642,62770,2799,1642,1,5,1,1
mdl/props/charm/charm_witch.rmdl,54572,2212,1475,54572,2212,1475,1,5,1,1
mdl/robots/drone_frag/drone_frag.rmdl,762198,24455,21981,365688,13152,10242,1,26,4,1
mdl/vehicle/droppod_fireteam/droppod_fireteam.rmdl,1911636,51724,57189,789696,23018,23271,1,55,5,2
mdl/vehicle/droppod_loot/droppod_loot_LL_holo.rmdl,30554,591,844,30554,591,844,1,1,1,1
mdl/robots/marvin/marvin_gladcard.rmdl,3388788,98430,99936,1200438,37379,34863,4,94,5,5
mdl/menu/xp_badge.rmdl,8728,308,344,8728,308,344,1,1,1,1
mdl/menu/coin.rmdl,3448,128,134,3448,128,134,1,1,1,1
mdl/currency/crafting/currency_crafting_epic.rmdl,113224,2684,4856,113224,2684,4856,1,1,1,1
mdl/weapons/empty_handed/ptpov_emptyhand.rmdl,104232,3596,2952,104232,3596,2952,1,99,1,2
mdl/weapons/empty_handed/w_empty_handed_human.rmdl,90,1,3,90,1,3,1,10,1,1
mdl/weapons/doubletake/ptpov_doubletake.rmdl,3145788,82872,73571,3145788,82872,73571,22,127,1,31
mdl/weapons/doubletake/w_doubletake.rmdl,1379766,27827,33689,696078,14697,16886,18,18,4,19
mdl/weapons/b3wing/ptpov_b3wing.rmdl,1572438,40835,36873,1572438,40835,36873,16,115,1,21
mdl/weapons/b3wing/w_b3wing.rmdl,802044,16044,19605,432510,9307,10463,15,15,4,16
mdl/weapons/alternator_smg/ptpov_alternator_smg.rmdl,2083536,54510,48791,2083536,54510,48791,17,121,1,20
mdl/weapons/alternator_smg/w_alternator_smg.rmdl,904524,17410,22224,483378,9895,11778,15,13,4,15
mdl/weapons/gibraltar_bubbleshield/w_gibraltar_bubbleshield.rmdl,126172,2628,3943,108712,2266,3397,1,6,4,1
mdl/weapons/gibraltar_bubbleshield/ptpov_gibraltar_bubbleshield_held.rmdl,230192,6044,6926,230192,6044,6926,1,141,1,1
mdl/weapons/rspn101_dmr/ptpov_rspn101_dmr.rmdl,3203430,83815,75015,3203430,83815,75015,20,113,1,30
mdl/weapons/rspn101_dmr/w_rspn101_dmr.rmdl,1493538,29557,36561,740814,15313,18026,19,16,4,19
mdl/weapons/rspn101_dmr/ptpov_rspn101_dmr_legendary_01.rmdl,3334098,89453,77705,3334098,89453,77705,20,113,1,33
mdl/weapons/rspn101_dmr/w_rspn101_dmr_legendary_01.rmdl,1492830,30837,36328,773556,16798,18688,19,16,4,20
mdl/weapons/peacekeeper/ptpov_peacekeeper.rmdl,1920942,49881,45046,1920942,49881,45046,17,110,1,22
mdl/weapons/peacekeeper/w_peacekeeper.rmdl,1049574,21419,25585,538860,11708,13017,16,14,4,18
mdl/weapons/w1128/ptpov_w1128.rmdl,2033592,53482,47575,2033592,53482,47575,17,111,1,20
mdl/weapons/w1128/w_w1128.rmdl,917430,17401,22584,489336,9886,11945,15,14,4,15
mdl/weapons/grenades/m20_f_grenade_projectile.rmdl,62142,2807,2265,34228,1478,1268,1,1,4,1
mdl/weapons/g2/ptpov_g2a4.rmdl,3182232,83126,74541,3182232,83126,74541,20,115,1,31
mdl/weapons/g2/w_g2a4.rmdl,1434714,28723,35066,692406,14589,16802,18,16,4,19
mdl/weapons/lmg_hemlok/ptpov_lmg_hemlok.rmdl,2105100,52146,49784,2105100,52146,49784,16,109,1,18
mdl/weapons/lmg_hemlok/w_lmg_hemlok.rmdl,947556,17754,23362,505074,9977,12367,15,13,4,15
mdl/weapons/lstar/ptpov_lstar.rmdl,2242008,55584,53014,2242008,55584,53014,16,125,1,21
mdl/weapons/lstar/w_lstar.rmdl,910014,17689,22330,493842,10151,12026,15,15,4,16
